[2026-01-07 18:48:33] 404 Not Found: user/userDashboard (IP: ::1)
[2026-01-07 18:48:55] 404 Not Found: api/bookings_list (IP: ::1)
[2026-01-07 18:48:55] 404 Not Found: api/bookings_list (IP: ::1)
[2026-01-07 18:48:56] 404 Not Found: api/bookings_list (IP: ::1)
[2026-01-07 18:48:57] 404 Not Found: api/clients_list (IP: ::1)
[2026-01-07 18:49:00] 404 Not Found: assets/css/user-booking.css (IP: ::1)
[2026-01-07 18:49:00] 404 Not Found: api/trips_list (IP: ::1)
[2026-01-07 18:53:41] 404 Page Not Found: /CHT-Travel-and-Tours-Web/invalid/path (IP: ::1)
[2026-01-07 18:53:41] 405 Method Not Allowed: /CHT-Travel-and-Tours-Web/login (IP: ::1)
[2026-01-07 18:54:04] 404 Page Not Found: /CHT-Travel-and-Tours-Web/invalid/path (IP: ::1)
[2026-01-07 18:54:04] 405 Method Not Allowed: /CHT-Travel-and-Tours-Web/login (IP: ::1)
[2026-01-07 18:54:35] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/css/user-booking.css (IP: ::1)
[2026-01-07 18:54:36] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/css/user-booking.css (IP: ::1)
[2026-01-07 18:54:37] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/css/user-booking.css (IP: ::1)
[2026-01-07 18:54:39] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/css/user-booking.css (IP: ::1)
[2026-01-07 18:54:39] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/css/user-booking.css (IP: ::1)
[2026-01-07 18:54:40] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/css/user-booking.css (IP: ::1)
[2026-01-07 18:56:57] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/css/user-booking.css (IP: ::1)
[2026-01-07 18:56:58] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/css/user-booking.css (IP: ::1)
[2026-01-07 18:56:58] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/css/user-booking.css (IP: ::1)
[2026-01-07 18:56:59] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/css/user-booking.css (IP: ::1)
[2026-01-07 18:57:00] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/css/user-booking.css (IP: ::1)
[2026-01-07 19:05:32] 404 Page Not Found: /CHT-Travel-and-Tours-Web/user/userDashboard (IP: ::1)
[2026-01-07 19:14:16] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/css/user-booking.css (IP: ::1)
[2026-01-07 19:14:16] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/css/user-booking.css (IP: ::1)
[2026-01-07 19:14:17] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/css/user-booking.css (IP: ::1)
[2026-01-07 19:14:19] 404 Page Not Found: /CHT-Travel-and-Tours-Web/userTourPackages.html (IP: ::1)
[2026-01-07 19:14:32] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/css/user-booking.css (IP: ::1)
[2026-01-07 19:14:33] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/css/user-booking.css (IP: ::1)
[2026-01-07 19:14:33] 404 Page Not Found: /CHT-Travel-and-Tours-Web/userTourPackages.html (IP: ::1)
[2026-01-07 19:20:01] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/uploads/packages/pkg_b7e05c6d.jpg (IP: ::1)
[2026-01-07 19:20:02] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/uploads/packages/pkg_b7e05c6d.jpg (IP: ::1)
[2026-01-07 19:20:15] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/uploads/packages/pkg_b7e05c6d.jpg (IP: ::1)
[2026-01-07 19:21:44] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/uploads/packages/pkg_b7e05c6d.jpg (IP: ::1)
[2026-01-07 19:21:45] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/uploads/packages/pkg_b7e05c6d.jpg (IP: ::1)
[2026-01-07 19:21:48] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/uploads/packages/pkg_b7e05c6d.jpg (IP: ::1)
[2026-01-07 19:21:52] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/uploads/packages/pkg_b7e05c6d.jpg (IP: ::1)
[2026-01-07 19:21:52] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/uploads/packages/pkg_b7e05c6d.jpg (IP: ::1)
[2026-01-07 19:21:53] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/css/user-booking.css (IP: ::1)
[2026-01-07 19:21:54] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/css/user-booking.css (IP: ::1)
[2026-01-07 19:21:56] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/css/user-booking.css (IP: ::1)
[2026-01-07 19:21:57] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/css/user-booking.css (IP: ::1)
[2026-01-07 19:21:57] 404 Page Not Found: /CHT-Travel-and-Tours-Web/assets/uploads/packages/pkg_b7e05c6d.jpg (IP: ::1)
[2026-01-07 19:25:10] 404 Page Not Found: /cht-travel-and-tours/assets/uploads/packages/pkg_b7e05c6d.jpg (IP: ::1)
[2026-01-07 19:25:15] 404 Page Not Found: /cht-travel-and-tours/assets/uploads/packages/pkg_b7e05c6d.jpg (IP: ::1)
[2026-01-07 19:25:17] 404 Page Not Found: /cht-travel-and-tours/assets/uploads/packages/pkg_b7e05c6d.jpg (IP: ::1)
